mode,layer,region,rel_l2,mae,mse,cosine,samples
outdated,p2,roi,0.5161042389104037,0.5350429104807658,0.6118130271826545,0.8012810077033634,492
outdated,p2,background,0.4606177669465542,0.6048107602149249,0.7210051672048867,0.8668413707017899,500
outdated,p2,global,0.46422226329147814,0.5992647386789322,0.7129584083668887,0.8631257493495941,500
outdated,p3,roi,0.5506780636231832,0.49218131006672616,0.5184554488197484,0.7680803069511686,492
outdated,p3,background,0.4912806715667248,0.5103804051578045,0.507642892267555,0.8466372245550156,500
outdated,p3,global,0.4975541637688875,0.5103937676101923,0.5129713508710265,0.8401146810054779,500
outdated,p4,roi,0.5750202890788394,0.522408190584643,0.5752069929376153,0.7437928645678501,492
outdated,p4,background,0.5759753726124763,0.5327691118121147,0.5324353493861854,0.7929733465909958,500
outdated,p4,global,0.5777865608930588,0.5348187021464109,0.5448032273389399,0.7866660613417625,500
outdated,p5,roi,0.6080130991048929,0.5223103823912579,0.5672332303053359,0.7243684861152168,492
outdated,p5,background,0.6566466904878616,0.6207015946209431,0.7210288982316851,0.7137039350271225,500
outdated,p5,global,0.651500403702259,0.6114177098870277,0.7095242146626115,0.7139242989420891,500
pred,p2,roi,0.5185165878506454,0.5369347982805192,0.6146113218103604,0.7989959594526773,492
pred,p2,background,0.46489713542163374,0.6105006441175937,0.7344072284772992,0.8638225192427635,500
pred,p2,global,0.46813959020376206,0.6043780719339847,0.7248571903407574,0.8603689811825752,500
pred,p3,roi,0.5519988630118409,0.4929552486060354,0.5190280933478256,0.7664992305908231,492
pred,p3,background,0.49563357192277907,0.5150478115379811,0.5164763433858752,0.8432786564230919,500
pred,p3,global,0.501362158715725,0.5144434660673142,0.520377871453762,0.8371791565418243,500
pred,p4,roi,0.5752492743142978,0.5221753233392549,0.5738294730152238,0.7437220124922488,492
pred,p4,background,0.5808161024153232,0.5371016371250152,0.5414976836591959,0.7886422672867774,500
pred,p4,global,0.5817826814949513,0.5384375165402889,0.5520287377163767,0.7831181296110153,500
pred,p5,roi,0.6073427074929563,0.5215461763091446,0.5651666909319962,0.7253227112426733,492
pred,p5,background,0.6595965999662876,0.6236408255398274,0.7287706336602569,0.7099761091172695,500
pred,p5,global,0.653795580714941,0.6137896995842457,0.7156116580367088,0.7110430685430765,500
