mode,layer,region,rel_l2,mae,mse,cosine,samples
outdated,p2,roi,0.5867082042604442,0.6100711825841326,0.7639385068266675,0.7493977575994483,492
outdated,p2,background,0.5091352270543575,0.6714074068516492,0.8636507411040366,0.839892592549324,500
outdated,p2,global,0.5142543338686227,0.6668737831115723,0.856977147500962,0.83475626963377,500
outdated,p3,roi,0.6288085609704741,0.5635664048112505,0.6519242644260781,0.7053467186046688,492
outdated,p3,background,0.5432933025956154,0.566752740457654,0.6088310785405338,0.8154588742256165,500
outdated,p3,global,0.5519899631738663,0.5686137392371893,0.6183252784237265,0.8065289578437805,500
outdated,p4,roi,0.6525727790303346,0.5943773123397817,0.7163702085296192,0.6762548622259268,492
outdated,p4,background,0.6325161523371935,0.5867594900280237,0.631277273207903,0.753493928194046,500
outdated,p4,global,0.6370640096515418,0.5914156393706799,0.6502153482884169,0.7439906862974167,500
outdated,p5,roi,0.6795651198220931,0.5850138636987384,0.6923024912697937,0.658198397224239,492
outdated,p5,background,0.7160473330020904,0.6789556548297405,0.8428509151563048,0.6612034119069576,500
outdated,p5,global,0.7126221571415663,0.6709607887864113,0.8340388855785131,0.6593478207439184,500
pred,p2,roi,0.5894429481974462,0.6124457944093681,0.7679349768157231,0.7471803296508828,492
pred,p2,background,0.512431136995554,0.6755544382631778,0.8725903532356024,0.8378314979076386,500
pred,p2,global,0.5172647842764855,0.6705700788795949,0.8648060943931342,0.8329695259928703,500
pred,p3,roi,0.6307784529266561,0.5650107354168,0.6536902169681843,0.7035899531016717,492
pred,p3,background,0.5470531825721264,0.570663197517395,0.6158370389416814,0.8128966557979583,500
pred,p3,global,0.5552593370378017,0.5719801495373249,0.6240435206964612,0.804414402782917,500
pred,p4,roi,0.6534498623473858,0.5948179987660511,0.7161983027448499,0.6761441470116256,492
pred,p4,background,0.6371127747893334,0.5907895247042179,0.6399601795449853,0.7495666069984436,500
pred,p4,global,0.6408313775062561,0.5947782258987426,0.6570819887667895,0.7408985589146614,500
pred,p5,roi,0.6793405353053799,0.5847325741608695,0.691364849599578,0.6592448720806922,492
pred,p5,background,0.7191064383983612,0.6818329554796219,0.850895445227623,0.6577358147203922,500
pred,p5,global,0.7150168226063252,0.6732944802045823,0.8404351614266634,0.6567834090143442,500
