mode,layer,region,rel_l2,mae,mse,cosine,samples
outdated,p2,roi,0.5249103616499077,0.5186584905637959,0.5764264877737931,0.7939057154997395,492
outdated,p2,background,0.45473857390880584,0.607812215268612,0.7234698879979551,0.8670712404251099,500
outdated,p2,global,0.4594441773146391,0.5998131475895643,0.7101932151541114,0.8629165922999382,500
outdated,p3,roi,0.5570996833011145,0.4814859223741341,0.49530779368933137,0.7639694229313513,492
outdated,p3,background,0.4836765022724867,0.5139532303512097,0.5086198774650693,0.8495501054525375,500
outdated,p3,global,0.49117373082041743,0.5122721580862999,0.5107704062536359,0.8426082509756089,500
outdated,p4,roi,0.5800307602356605,0.4990971401576104,0.5263582478046448,0.744366878503555,492
outdated,p4,background,0.5412090414911509,0.5058103900402784,0.4790063047297299,0.8164725581407547,500
outdated,p4,global,0.5481496034562587,0.508332892358303,0.4915875817760825,0.8079464265704155,500
outdated,p5,roi,0.6170510753262334,0.5014871361900152,0.5255290418882226,0.7211444526778277,492
outdated,p5,background,0.6235841351598501,0.5559842784106731,0.5678405283242464,0.7469764704704285,500
outdated,p5,global,0.6238320333361626,0.5528659256696701,0.5718108872137964,0.7424318204522133,500
pred,p2,roi,0.5266387663721069,0.5205243465346776,0.5820622354882156,0.7908461896808652,492
pred,p2,background,0.45745223766565324,0.6116616299152374,0.7307876023203135,0.8654686151742935,500
pred,p2,global,0.46225879070162773,0.6037362512350083,0.7180574748255313,0.8611640181541443,500
pred,p3,roi,0.5586325479898511,0.48303684705822936,0.5004829229593913,0.7605479417134046,492
pred,p3,background,0.4861931574344635,0.5167595022618771,0.5126341459602117,0.8481632106304169,500
pred,p3,global,0.4937966758161783,0.5151246346235275,0.5152810555323959,0.8410333452820777,500
pred,p4,roi,0.5805302172051212,0.49969386784889835,0.5300959233701895,0.7418487335638544,492
pred,p4,background,0.5452848133444786,0.5094824217706919,0.48471601198613645,0.8141070451736451,500
pred,p4,global,0.5520632426440716,0.5118024528771639,0.49732908884435895,0.8055560843944549,500
pred,p5,roi,0.6154191958740717,0.5005890399944491,0.5260075607745931,0.7211178401068641,492
pred,p5,background,0.6286353168487548,0.560420440107584,0.5760223202221095,0.7433134678602219,500
pred,p5,global,0.6282774847447872,0.5566985310316086,0.5791660496108234,0.7391330968588591,500
